Mdust,phi
696780.8950724038,0.007880462815669896
1224238.7132886876,0.01610262027560939
2059716.8951669587,0.00406626241529033
3515807.6323692114,0.004893900918477479
5915160.419241014,0.010543589908346793
10096808.060104819,0.0058899952225942775
16743620.51460029,0.003204402976245164
29846636.576473314,0.00266248614403985
50946337.78182841,0.002154434690031882
86962205.16271171,0.0005889995222594289
152791930.58541328,8.760496806274325e-05
249740823.6808639,4.766075519335836e-05
17234618.46799389,0.00621016941891561
52440312.6101497,0.00266248614403985
89512326.5489585,0.0015682030668618208
146309311.468714,0.0005889995222594289
253376125.22553596,0.0002212216291070448
432497163.5754172,7.674630429274295e-06
51687927.79384135,0.0013379404427086925
89512326.5489585,0.0020981623055342405
249740823.6808639,0.0005586328066431615
432497163.5754172,0.0002332470136161077
738245548.3297027,3.755888090680076e-05
84484734.31896894,0.003204402976245164
148439033.22642568,0.0015272426579169
253376125.22553596,0.0018380944176677905
432497163.5754172,0.0004520353656360236
717213632.0151674,0.00010543589908346803
1260138876.1098533,1.9899885368959903e-05
253376125.22553596,0.000973880672847496
432497163.5754172,0.0004893900918477489
748991669.6191038,0.00015272426579168984
1260138876.1098533,2.154434690031878e-05
