,z,cdmh
0,0.0,142529.59582456638
1,0.18999999999999995,199245.00498772453
2,0.3999999999999999,252788.0317493751
3,0.6599999999999999,298880.5838388234
4,0.95,261860.77212259898
5,1.2400000000000002,235574.69475746842
6,1.6600000000000001,190653.60559985833
7,2.07,148952.38902833042
8,2.46,102861.0962520807
9,2.8,71661.07318586191
10,3.1500000000000004,46525.13004357902
11,3.41,39350.15081790117
12,3.8099999999999996,31015.396345004363
13,4.47,13662.441984039899
14,4.85,7979.778042857358
15,5.58,4343.355936817132
16,6.13,2722.1733212545214
