MHI,phi,philo,phihi,z
9.00501882057717,-3.58914728682171,0.651162790697674,0.589147286821706,0.85
9.30238393977415,-2.81395348837209,0.403100775193797,0.434108527131783,0.85
9.59974905897114,-2.62790697674419,0.356589147286821,0.372093023255813,0.85
9.90464240903388,-2.5968992248062,0.387596899224806,0.387596899224807,0.85
10.198243412798,-2.75193798449612,0.356589147286823,0.341085271317829,0.85
10.5031367628607,-3.09302325581395,0.341085271317829,0.294573643410853,0.85
10.8042659974906,-3.88372093023256,0.418604651162789,0.325581395348837,0.85
11.1053952321205,-4.45736434108527,0.465116279069767,0.449612403100775,0.85
11.3989962358846,-5.27906976744186,0.170542635658914,0.124031007751936,0.85
9.30895334174023,-4.14396887159533,0.38910505836576,0.43579766536965,1.2
9.59646910466582,-2.8988326848249,0.233463035019456,0.186770428015564,1.2
9.89911727616646,-2.75875486381323,0.264591439688717,0.249027237354084,1.2
10.1979823455233,-2.88326848249027,0.217898832684826,0.155642023346303,1.2
10.500630517024,-3.30350194552529,0.217898832684825,0.186770428015564,1.2
10.8032786885246,-3.78599221789883,0.264591439688715,0.249027237354087,1.2
11.0983606557377,-4.47081712062257,0.171206225680933,0.171206225680934,1.2
11.4010088272383,-5.01556420233463,0.171206225680934,0,1.2
