lbt,cdmh,cdmh_smooth
0.044164037854890204,234130.57304288048,236707.7022639437
0.32807570977918044,242234.75436577082,237038.12511335875
0.7381703470031553,234130.57304288048,237531.2648760039
0.9747634069400632,236801.38407336734,238223.0636967635
1.2429022082018926,242234.75436577082,239149.463720522
1.5268138801261826,242234.75436577082,240346.4070921638
1.9684542586750795,242234.75436577082,241849.83595657325
2.2839116719242902,242234.75436577082,243695.69245863476
2.615141955835962,244998.01268577148,247346.32394627383
3.0252365930599368,244998.01268577148,251297.63923524594
3.1671924290220823,247792.79247990184,254366.53041655483
3.68769716088328,259294.37974046616,257896.00625374605
3.861198738170346,265243.8482597577,262284.11882473424
4.145110410094636,262252.24329734244,266709.30028713227
4.618296529968453,268269.5795279722,270107.4095523068
4.8391167192429005,274424.98258639086,273207.59709982306
5.028391167192429,274424.98258639086,276324.52689357754
5.690851735015773,274424.98258639086,278917.97994418925
6.037854889589905,280721.62039411755,280344.7967078224
6.542586750788641,280721.62039411755,281056.74140904733
6.8738170347003145,277555.44633150176,280110.0376437117
7.58359621451104,274424.98258639086,276760.9801871312
7.930599369085172,280721.62039411755,271919.66260205716
8.34069400630915,277555.44633150176,266042.7774197493
8.766561514195585,268269.5795279722,258161.07329257915
9.113564668769714,253478.35889920528,248522.03992188425
9.413249211356465,239502.6619987481,239033.48305130095
9.697160883280757,226297.52438667274,228754.6422649358
9.981072555205046,218726.53741020634,216396.68704252513
10.154574132492112,209024.42832962153,202218.7524603652
10.3596214511041,197499.72828101637,188075.33575617292
10.62776025236593,182424.74331560195,173861.4607056743
10.817034700315459,172366.63448613667,159134.60337968066
10.958990536277602,161026.20275609393,143468.19162572103
11.17981072555205,135832.88537301685,127327.68028776397
11.384858044164039,112011.10555062408,111021.65607002415
11.495268138801261,98872.13031252431,95596.59216410696
11.589905362776022,87274.36538083809,81449.70536161968
11.684542586750787,73619.87469042232,68621.52566827305
11.794952681388011,60024.02621997757,57072.87859680874
11.858044164037853,50632.98105287164,47601.84080081115
11.936908517350156,44693.69957703463,43856.261935475704
11.984227129337537,38131.22768472172,37242.95600344159
12.0788643533123,32532.33763380842,31616.27650945465
12.141955835962143,26826.95795279733,26755.612301353976
12.252365930599368,20666.69051630728,22440.352226978808
12.347003154574132,17236.663448613737,18449.88513416832
12.394321766561514,14375.91406356734,14563.599870761682
12.457413249211356,11854.72886877822,10560.885284598044
