lbt,cdmh
0.00947867298578231,1445439.770745922
0.8783570300157981,1412537.5446227498
1.8104265402843598,1396368.3610559334
2.742496050552923,1348962.8825916506
3.864139020537124,1244514.611771382
4.843601895734595,1161448.6138403413
6.218009478672986,1059253.7251772876
7.466034755134283,922571.4271547609
8.429699842022119,776247.1166286896
9.251184834123222,660693.4480075951
10.056872037914694,495450.19080478954
10.530805687203793,402717.0343254587
11.162717219589258,239883.29190194898
11.49447077409163,164058.97731995388
11.90521327014218,94406.08762859246
12.078988941548184,57543.99373371578
12.315955766192733,28840.315031266116
12.552922590837284,9885.530946569432
