lbt,cdmh
0.009179575444636445,231596.05149852362
0.24284149585354475,233011.1232533838
0.5015386220205504,234434.84121813544
0.7185104052573937,238758.40227851228
0.9772075314243994,237308.4274164438
1.194179314661242,240217.23661145385
1.3360454806237947,243161.70054921877
1.5863975382047673,241684.98454739654
1.795024252855578,241684.98454739654
1.9452354874041626,246142.25626791958
2.095446721952747,243161.70054921877
2.3291086423616543,241684.98454739654
2.4876649454962703,246142.25626791958
2.6629113858029516,253754.46368579924
2.879883169039796,249159.34616273482
3.0134042664163148,246142.25626791958
3.2554112554112553,252213.4180515057
3.5141083815782617,261602.08660141294
3.781150576331299,258434.32659520255
4.031502633912273,258434.32659520255
4.256819485735148,256864.8602497982
4.440410994627861,268054.56905916805
4.682417983622802,278032.92596669315
4.932770041203776,274666.2036491114
5.166431961612684,279731.7310106944
5.416784019193657,283160.544054372
5.658791008188598,286631.38579048956
5.9174881343556045,286631.38579048956
6.159495123350544,283160.544054372
6.434882386689615,274666.2036491114
6.710269650028686,279731.7310106944
7.019037187711887,276344.43773075275
7.286079382464924,279731.7310106944
7.569811714390026,284890.6792850437
7.853544046315132,281440.9158993399
8.087205966724039,274666.2036491114
8.32921295571898,272998.1614484999
8.53783967036979,260013.38251470088
8.77984665936473,258434.32659520255
9.063578991289834,247646.2065825664
9.364001460387001,240217.23661145385
9.722839409586397,217909.48000137246
10.056642153027694,217909.48000137246
10.407135033641058,205031.74025301225
10.590726542533773,183739.2969427225
10.824388462942679,164658.06318253707
11.033015177593489,140539.99503629387
11.20826161790017,115649.52389392117
11.500339018411307,91194.625884544
11.650550252959892,74587.77614401659
11.784071350336411,55003.77874756401
11.976007927815155,36571.59058188561
12.142909299535805,24915.93461627353
12.259740259740258,19291.503293438138
12.368226151358682,12905.145245436923
12.443331768632973,10114.462091127383
