z,cdmh
0.11565585331452777,5.281886387995713
0.22566995768688347,5.2497320471597
0.361071932299013,5.365487674169346
0.49647390691114257,5.427652733118971
0.6445698166431597,5.485530546623794
0.8180535966149509,5.609860664523044
1.008462623413258,5.607717041800643
1.2157968970380817,5.612004287245445
1.4485190409026805,5.558413719185423
1.689703808180536,5.609860664523044
1.9689703808180532,5.54983922829582
2.2693935119887163,5.461950696677385
2.60789844851904,5.262593783494105
2.984485190409026,5.065380493033226
3.386459802538787,4.893890675241158
3.851904090267982,4.842443729903537
0.11565585331452777,5.219721329046088
0.24682651622002838,5.20042872454448
0.369534555712271,5.318327974276528
0.5091678420310295,5.391211146838156
0.6572637517630467,5.457663451232583
0.8138222849083219,5.57556270096463
1.008462623413258,5.564844587352626
1.2157968970380817,5.57341907824223
1.4400564174894215,5.517684887459807
1.6939351198871644,5.581993569131833
1.973201692524683,5.521972132904609
2.2736248236953456,5.438370846730975
2.60789844851904,5.22615219721329
2.976022566995768,5.02465166130761
3.394922425952045,4.831725616291533
3.847672778561354,4.743837084673098
0.11565585331452777,5.14898177920686
0.2383638928067704,5.153269024651662
0.356840620592384,5.290460878885316
0.49224259520451363,5.376205787781351
0.6572637517630467,5.42550911039657
0.8095909732016928,5.547695605573419
1.0042313117066295,5.526259378349411
1.2115655853314533,5.532690246516613
1.4358251057827929,5.485530546623794
1.6770098730606486,5.562700964630225
1.9647390691114248,5.494105037513398
2.2566995768688294,5.414790996784566
2.603667136812412,5.198285101822079
2.976022566995768,4.988210075026795
3.386459802538787,4.756698821007503
3.843441466854724,4.615219721329046
