cdmh,1pz
0.997702513072627,5.153905053598775
1.188283424130729,5.299387442572742
1.4023075634998814,5.402756508422665
1.6586908455480243,5.475497702909648
1.9484569623069394,5.418070444104135
2.2367984272679724,5.372128637059724
2.6579504942442136,5.280245022970903
3.072413894573757,5.173047473200612
3.462775059439603,5.012251148545176
3.7964845339623863,4.855283307810107
4.1527908146945185,4.667687595712097
4.408718152722725,4.594946401225115
4.811403966636661,4.491577335375191
5.472832011644427,4.1355283307810105
5.850341253468533,3.901990811638591
6.578499196345327,3.6378254211332313
7.129999687903796,3.434915773353752
