z,omega_dust
-0.03856382978723383,-5.920077972709551
0.04920212765957466,-5.888888888888889
0.15292553191489366,-5.842105263157895
0.26462765957446815,-5.799220272904484
0.3922872340425531,-5.752436647173489
0.5199468085106385,-5.717348927875244
0.7074468085106386,-5.701754385964913
0.8909574468085111,-5.701754385964913
1.0345744680851068,-5.713450292397662
1.1742021276595749,-5.7290448343079925
1.3257978723404258,-5.771929824561404
1.473404255319149,-5.822612085769981
1.6090425531914896,-5.8654970760233915
1.756648936170213,-5.916179337231969
1.9042553191489366,-5.982456140350878
2.0438829787234045,-6.037037037037037
2.191489361702128,-6.091617933723197
2.3031914893617023,-6.165692007797271
2.446808510638298,-6.239766081871345
2.6303191489361706,-6.333333333333333
2.8218085106382977,-6.423001949317739
3.1170212765957457,-6.594541910331384
3.468085106382979,-6.797270955165692
3.73936170212766,-6.964912280701754
3.974734042553192,-7.105263157894737
