1pz,cdmh,cdmh_smooth
0.9977106221009192,5.15606936416185,5.151639112332753
1.0541302909899888,5.20616570327553,5.214742354626746
1.1474248285027573,5.283236994219653,5.279875679875678
1.2720887898006945,5.341040462427746,5.342421996757254
1.387850797864575,5.398843930635838,5.397764213949183
1.528092870906632,5.441233140655107,5.453371868978813
1.6331138693125293,5.475915221579962,5.46348747591523
1.7573950417047612,5.472061657032755,5.459441233140663
1.904182364180576,5.445086705202312,5.437427745664748
2.0632301730742406,5.410404624277457,5.399253371868987
2.2873933949739187,5.375722543352601,5.356864161849719
2.472774995220242,5.341040462427746,5.306551059730259
2.6978012679395373,5.271676300578035,5.25154142581889
2.9433052725640048,5.210019267822736,5.185741811175345
3.1168823502102265,5.167630057803468,5.104889210019277
3.3234696961007435,5.055876685934489,5.0114884393063654
3.576388196153242,4.978805394990366,4.912789017341049
3.769979129904178,4.859344894026975,4.815799614643552
3.9740491972320755,4.74373795761079,4.719171483622358
4.1795750534625595,4.651252408477842,4.622808285163784
4.446394966038207,4.574181117533719,4.517894990366096
4.784768909020378,4.500963391136802,4.406575144508678
5.066943582569194,4.358381502890174,4.280346820809255
5.32899064504754,4.200385356454721,4.1388487475915285
5.5661849769707965,4.065510597302505,3.9959778420038603
5.880947901629968,3.9152215799614645,3.9243048537846215
6.18509281603395,3.776493256262042,3.7851318880220606
6.460392409540635,3.660886319845858,3.6557410476485614
6.763429683901728,3.5684007707129095,3.5411940660495573
7.129536100781655,3.4296724470134876,3.4465526766104806
