lbt,cdmh,cdmh_smooth
-0.05088062622309186,229601.96986199621,228358.6831200164
0.5440313111545991,229601.96986199621,233504.5784678227
1.13894324853229,240152.88312743988,237946.2440512168
1.7181996086105675,245608.7882417324,242198.87867245966
2.2504892367906075,245608.7882417324,249848.05497863574
2.8454011741682974,245608.7882417324,255871.19343194918
3.5029354207436407,265699.19823662983,263975.2910425148
4.129158512720157,265699.19823662983,272785.01363889955
4.7710371819960855,277908.88962986064,278691.0471036602
5.726027397260274,281047.99268795585,280253.3925863446
6.430528375733855,281047.99268795585,282812.3899443541
7.088062622309199,277908.88962986064,279300.15122540185
7.7925636007827785,277908.88962986064,270427.07550126617
8.418786692759298,271735.4764425983,260624.63696807902
8.919765166340508,248383.04745773543,246934.64885904573
9.530332681017612,229601.96986199621,224818.92596442375
10.062622309197653,221994.1159369197,194975.90742049826
10.594911937377693,183406.462401311,158529.73500966103
11.11154598825832,135427.64208288904,117943.6036032807
11.518590998043052,93482.79900962564,78510.79489900966
11.784735812133073,58324.85375886902,50284.61950351487
11.941291585127203,41175.0510546154,40361.40026377022
12.160469667318985,26273.153012506966,25688.8483002774
12.285714285714288,17732.929513788204,16724.79883385473
12.442270058708417,11315.103649969476,12041.236435391707
