z,logCDMH
0.06124721603563476,5.554545454545455
0.19487750556792857,5.5636363636363635
0.3897550111358573,5.536363636363637
0.5456570155902002,5.518181818181818
0.7126948775055677,5.495454545454546
0.8574610244988863,5.49090909090909
1.1469933184855234,5.454545454545455
1.291759465478842,5.422727272727273
1.4198218262806237,5.409090909090908
1.5645879732739423,5.386363636363637
1.6815144766146997,5.359090909090909
1.804008908685969,5.313636363636364
1.9376391982182628,5.286363636363637
2.0935412026726055,5.272727272727273
2.2160356347438754,5.218181818181819
2.3552338530066823,5.190909090909091
2.5222717149220495,5.140909090909091
2.6559020044543438,5.122727272727273
2.7728285077951007,5.1045454545454545
2.8841870824053455,5.054545454545455
3.006681514476615,5.009090909090909
3.1236080178173724,4.9727272727272736
3.24053452115813,4.9363636363636365
3.3741648106904236,4.886363636363637
3.491091314031181,4.85
3.602449888641426,4.795454545454546
3.674832962138084,4.736363636363636
3.825167037861916,4.731818181818182
4.047884187082405,4.668181818181818
4.192650334075724,4.545454545454546
4.326280623608019,4.50909090909091
4.409799554565702,4.481818181818182
4.587973273942093,4.422727272727273
4.727171492204901,4.390909090909091
4.832962138084633,4.281818181818182
4.905345211581292,4.218181818181819
5.033407572383074,4.2272727272727275
5.194877505567929,4.163636363636364
5.334075723830736,4.095454545454546
5.439866369710469,4.036363636363636
5.612472160356347,4.0181818181818185
5.729398663697105,3.8818181818181827
5.79064587973274,3.754545454545455
5.918708240534522,3.9545454545454546
5.9910913140311814,3.85909090909091
