lbt,csmh
0.8910891089108892,203536346.8240423
1.5470297029702964,203536346.8240423
2.2524752475247514,200663847.8288771
2.9579207920792063,200663847.8288771
3.70049504950495,209405292.74115217
4.467821782178217,200663847.8288771
5.222772277227722,200663847.8288771
6.076732673267327,195039896.04136142
6.757425742574258,186898122.33247578
7.574257425742575,169197936.3250608
8.341584158415843,146779926.76220676
9.047029702970299,122016834.28846718
9.752475247524753,95825585.49602659
10.519801980198022,70093704.33804785
11.064356435643568,59102375.697940625
11.608910891089112,54271009.65353906
11.992574257425744,52005512.755108915
12.289603960396043,50547968.21191245
