X,Y
0.9034415338914401,2432887.855372511
1.5491018093437772,2559653.5700966753
2.2327421009991895,2432887.855372511
2.802442344045371,2559653.5700966753
3.6000226843100185,2432887.855372511
4.245682959762355,2312400.1567897736
5.119223332433164,2312400.1567897736
5.688923575479341,2197879.558366506
6.448523899540911,2089030.5420976952
7.018224142587092,1985572.2253772723
7.625904401836347,1793773.0241777997
8.233584661085606,1704937.20587828
8.879244936537944,1620500.9423198453
9.372985147177964,1463966.3260981247
9.94268539022414,1391464.039137109
10.550365649473399,1194798.547565183
11.082085876316498,880927.3305452404
11.57582608695652,586769.1624632189
12.06956629759654,371479.9501793353
12.487346475830405,191940.70006465897
12.867146637861193,85157.21884597655
13.057046718876581,34131.67986802555
13.246946799891976,11164.967328463366
13.360886848501213,4253.383583031062
13.398866864704292,1322.4377655445614
