X,Y
0.8378648474838819,0.017417762522869022
1.6025647115567252,0.016171548011775044
2.5796812045386943,0.014467398318601967
3.4293477201751936,0.012942831073233348
4.406464213157163,0.01157892196656149
5.341097380357305,0.011157007932372594
6.403180524902924,0.00926714195290615
7.380297017884892,0.007988482248896957
8.272446859303214,0.006160579660267035
9.207080026503355,0.0049305942633306185
10.141713193703504,0.003530334027534723
10.821446406212695,0.002435633541108749
11.501179618721892,0.0015601534756731128
12.053462853885616,0.0009993616964836419
12.520779437485688,0.000551818854833228
13.030579346867583,0.00021816591709971844
