MHI,phi,phi_smooth
9.001259445843829,2.4308300395256905,3.4524937081135674
9.307304785894207,3.3636363636363633,3.1291376546457945
9.59823677581864,3.505928853754938,2.887304869940486
9.896725440806046,3.490118577075096,2.7157331832254443
10.198992443324936,3.3636363636363633,2.6031604237284696
10.501259445843829,2.9683794466403146,2.5383244206773634
10.795969773299749,2.1936758893280617,2.5099630032999274
11.113350125944585,1.624505928853754,2.5068140008239617
11.404282115869018,0.7391304347826066,2.5176152424772553
9.001259445843829,1.8300395256916984,2.467247518936831
9.311083123425693,2.9051383399209474,2.2556443421970287
9.602015113350125,3.1264822134387344,2.1061564630012484
9.900503778337532,3.1264822134387344,2.0712563785655607
10.191435768261965,3.0632411067193672,2.148202988289125
10.493702770780857,2.6679841897233185,2.314039574639912
10.799748110831235,1.7984189723320148,2.5010707424221894
11.102015113350127,1.1501976284584972,2.6886892889046465
11.400503778337532,0.5177865612648214,2.739840184045311
8.997481108312343,3.1264822134387344,2.863189711083086
9.311083123425693,3.7588932806324102,3.2895776991886656
9.594458438287154,3.9011857707509865,3.365006913936765
9.896725440806046,3.9486166007905137,3.234070412021667
10.183879093198993,3.7430830039525667,2.9649530708892513
10.501259445843829,3.332015810276678,2.5569696153893084
10.795969773299749,2.541501976284585,1.9465852494523814
11.094458438287154,2.098814229249011,1.143736462756513
11.408060453400504,0.8181818181818175,0.10730674628911174
9.295969773299749,-4.098814229249011,-0.8837969138144087
9.602015113350125,-2.9446640316205532,-1.905542162777313
9.900503778337532,-2.723320158102767,-2.781274856520502
10.198992443324936,-2.9288537549407114,-3.453627675326407
10.497481108312343,-3.371541501976285,-3.883637832083095
10.795969773299749,-3.7984189723320165,-4.0856471567199595
11.090680100755668,-4.4940711462450595,-4.098324746998842
11.389168765743072,-5.079051383399211,-3.918831605868873
9.299748110831235,-4.541501976284585,-3.778741785875971
9.605793450881611,-3.1343873517786576,-4.041789547106528
9.89294710327456,-3.0237154150197636,-4.150160917289716
10.191435768261965,-3.1027667984189717,-4.109484942302259
10.501259445843829,-3.592885375494071,-3.9680735202339528
10.795969773299749,-4.098814229249011,-3.777567028475611
11.09823677581864,-4.7312252964426875,-3.557985291058365
11.389168765743072,-5.23715415019763,-3.4147627846645037
9.28463476070529,-3.766798418972331,-3.33346794095213
9.613350125944585,-2.691699604743084,-3.293081576296013
9.889168765743072,-2.454545454545454,-3.3045558560432777
10.19521410579345,-2.739130434782609,-3.378842945541029
10.48992443324937,-3.1027667984189717,-3.5268950101363696
10.792191435768263,-3.545454545454546,-3.7596642151764046
11.09823677581864,-4.351778656126482,-4.088102726008237
11.392947103274558,-4.968379446640316,-4.523162707978971
