MHI,phi,phi_smooth
9.308953341740228,-4.143968871595331,-4.072279212357034
9.596469104665825,-2.898832684824903,-3.068994559266935
9.899117276166457,-2.7587548638132295,-2.7014839894217353
10.197982345523329,-2.883268482490273,-2.815048764465109
10.50063051702396,-3.303501945525293,-3.634727626459138
10.80327868852459,-3.785992217898834,-4.285019455252912
11.098360655737705,-4.470817120622569,-4.537451361867698
11.401008827238336,-5.015564202334632,-4.386673151750967
9.30517023959647,-4.533073929961091,-3.9392023346303455
9.600252206809584,-3.1322957198443593,-3.402723735408556
9.902900378310214,-3.0233463035019463,-3.0773346303501903
10.197982345523329,-3.1011673151750987,-3.2276264591439636
10.504413619167718,-3.5214007782101175,-3.9518482490272313
10.80327868852459,-4.0505836575875485,-4.45038910505836
11.098360655737705,-4.642023346303502,-4.519941634241238
11.401008827238336,-5.186770428015566,-4.139591439688711
9.293820933165195,-3.708171206225681,-3.508268482490268
9.6078184110971,-2.712062256809339,-2.8881322957198403
9.902900378310214,-2.5097276264591453,-2.5379377431906573
10.197982345523329,-2.7276264591439694,-2.8059338521400736
10.504413619167718,-3.116731517509729,-3.0403254333215464
10.80327868852459,-3.5369649805447474,-3.63995148820052
11.113493064312737,-4.299610894941635,-4.323833105934279
11.401008827238336,-5.015564202334632,-4.983728333922897
