,z,CSFHQ50,CSFHQ16,CSFHQ84,CSFHQ05,CSFHQ95,CAGNHQ50,CAGNHQ16,CAGNHQ84,CAGNHQ05,CAGNHQ95,CSMHQ50,CSMHQ16,CSMHQ84,CSMHQ05,CSMHQ95,CSMH_R041_Q50,CSMH_R041_Q16,CSMH_R041_Q84,CSMH_R041_Q05,CSMH_R041_Q95,CSFHERR,CAGNHERR,CSMHERR,CSMH_R041_ERR
0,0.0,-2.2044248459610998,-2.249779159591596,-2.154664998504207,-2.2782756588831496,-2.119663599845533,40.74070207765512,40.675441961019764,40.798096653819265,40.63751221364469,40.835348543538366,8.44070405316684,8.417229528081165,8.468429011274518,8.399331629055213,8.482394612693415,8.495992056490689,8.47208859192385,8.52259754450156,8.455207328670067,8.538622300683075,0.047557080543694674,0.06132734639975013,0.025599741596676218,0.02525447628885491
1,0.1,-2.015517244794034,-2.0466563628205265,-1.9817524092805852,-2.065406382634567,-1.958382580547709,40.87895527092083,40.845096359805275,40.91501418415377,40.82128098307622,40.937732750462146,8.436562289274743,8.413326700623708,8.465572418150089,8.392914351994868,8.479363664371775,8.487460827401797,8.463028697528898,8.514637581913997,8.445632301858492,8.530871286149715,0.03245197676997069,0.03495891217424685,0.026122858763190315,0.025804442192549182
2,0.2,-1.8504855070172335,-1.8746690278104454,-1.8239566838837658,-1.8888192525400225,-1.8086853056710286,41.00355583736143,40.97770523000507,41.031182867256284,40.96015884468804,41.049474288926106,8.430020674438605,8.406472751737406,8.459714770454122,8.385251777932973,8.47359171622702,8.476095812964777,8.45104478497605,8.50411139851987,8.43341329716398,8.520981751199145,0.025356171963339835,0.026738818625606342,0.026621009358358094,0.026533306771909793
3,0.30000000000000004,-1.707069546386347,-1.7305070347996803,-1.6817367971178723,-1.7456945987818806,-1.6662453595737174,41.11138835089952,41.07955248814778,41.14864826500285,41.0596726658692,41.17269759544634,8.420717042148372,8.396945229452063,8.451425440831157,8.375011037273957,8.46555478517507,8.461638033018074,8.436063399950525,8.490687169287456,8.417753259347196,8.507664680769688,0.024385118840903997,0.034547888427532314,0.027240105689546823,0.02731188466846568
4,0.4,-1.583544671569768,-1.609336286985472,-1.556510434277454,-1.6276236667855895,-1.539458076809969,41.20549502579792,41.162859717550646,41.254444449662095,41.14061942221724,41.2823981490762,8.408373473889336,8.38260137925671,8.439590483122833,8.36040554201881,8.45332703885099,8.44380206334086,8.418360365628178,8.473705669176606,8.398016862275679,8.491490632977882,0.026412926354008937,0.0457923660557249,0.028494551933061274,0.027672651774214074
5,0.5,-1.4783214145206283,-1.5064799139159206,-1.4491169190735642,-1.5284371686329612,-1.4306612312425386,41.28673375872179,41.233979673219046,41.34398390823504,41.210766701963735,41.373546298034086,8.391042814035139,8.366105656878053,8.423635650851779,8.34171154995308,8.437146964436428,8.422683361174169,8.396348457125798,8.453586158694424,8.375686995926406,8.471524301471387,0.028681497421178204,0.05500211750799622,0.028764996986862634,0.028618850784313032
6,0.6000000000000001,-1.3906110042629813,-1.420321325060192,-1.3586591889539001,-1.4443526950121226,-1.3405081629344568,41.35571393127914,41.29772336190775,41.41798962766481,41.27240093337352,41.44669306648721,8.371380968751911,8.345827575392764,8.403586111556967,8.319651850250846,8.419705181806629,8.398313314224088,8.370904035660363,8.429765646426812,8.34994182609239,8.448572727870465,0.03083106805314595,0.06013313287852995,0.028879268082101284,0.029430805383224623
7,0.7000000000000001,-1.3170075974728481,-1.349378551342554,-1.285327714239977,-1.372170032593462,-1.2668646749842698,41.413933299428535,41.352723777588444,41.475334458802315,41.32639231491454,41.50338814203097,8.347786799590587,8.321192602360902,8.381429049939591,8.294868241233669,8.398902908291502,8.37040885094268,8.342181305252886,8.40279008880841,8.320511007007653,8.421496891923237,0.03202541855128849,0.06130534060693549,0.030118223789344256,0.03030439177776234
8,0.8,-1.2572374595882516,-1.2908624232679844,-1.227101530552426,-1.3140698339409136,-1.2081007745704524,41.46184970868386,41.40170246155711,41.52121041268791,41.37323654321661,41.546521462011476,8.321835729708315,8.29444709316043,8.355297734252177,8.266575139354803,8.372962744015448,8.339608340755959,8.310441736694369,8.372873824933167,8.286740317180083,8.392560091228578,0.0318804463577792,0.05975397556539974,0.030425320545873547,0.031216044119399378
9,0.9,-1.2104290230515948,-1.244483260963176,-1.1805255774302794,-1.2673482938751035,-1.1615489430322319,41.4995288009659,41.44294691931636,41.55482779122863,41.41203607242699,41.579292626718676,8.292015566290218,8.262236771582998,8.325113962533354,8.237324861621614,8.343698164893333,8.30642202963446,8.27633458231157,8.340292129100451,8.252707870668868,8.360226999227674,0.031978841766448274,0.05594043595613485,0.03143859547517813,0.03197877339444055
10,1.0,-1.1757949047931153,-1.2087445202280076,-1.1456618680388,-1.231085382479975,-1.1260479417981184,41.52901331512936,41.4761860837004,41.57831743522812,41.44664831765243,41.60283055605321,8.262238312198079,8.230783444080341,8.294912291593903,8.205868457934605,8.313473774826045,8.271658318023203,8.240308690095263,8.305827968623865,8.215770305923684,8.326557291606875,0.031541326094603805,0.05106567576386212,0.03206442375678087,0.03275963926430059
11,1.1,-1.1500482345527616,-1.1819480807556426,-1.1186283768795404,-1.2048888954755974,-1.099414458110448,41.55076712392252,41.50440624467641,41.59550506111034,41.47577462669122,41.620095644411506,8.228845169220683,8.19661545816556,8.262464968747128,8.171122622941468,8.282846960300976,8.23485763918399,8.202553288570373,8.26941574097667,8.177183520814042,8.291084802645234,0.0316598519380511,0.04554940821696363,0.03292475529078409,0.03343122620314887
