#Growth history of baryons in galaxies
#rho values are in Msun/cMpc^3
#redshift rho_atom rho_mol rho_z_cold rho_star rho_BH
17.841478 0.0 0.0 0.0 0.0 0.0
17.520733 0.0 0.0 0.0 0.0 0.0
17.205448 0.10414029932903728 2.455298955471773 0.0005505807333871996 0.005716295876478926 0.0
16.895529 0.11231592593025344 2.517355562479394 0.0019610618239079974 0.08758129074299213 0.0
16.590887 0.2627429419685932 3.588334573309291 0.003440698325961665 0.20052068216559468 0.0
16.291431 0.4247195476531061 7.000382146118007 0.004279605789810746 0.2542252453350455 0.0
15.997072 0.8624556308236032 6.5350892918522385 0.013871080388339882 0.6241039167606389 0.0
15.707725 0.8723189158778446 10.978674695764527 0.013099654697923563 0.8031929944297113 0.0
15.423303 0.7571259022298035 12.95188879968798 0.02668129225098915 1.4595447860565178 0.0003322358511378934
15.143723 2.4799093925919826 11.192379426763656 0.0318790806125601 2.3209496877773126 0.0071301546116332055
14.868901 2.6090321916650225 16.628887021696098 0.02828852886329824 2.63968586602309 0.009348729588606339
14.598759 3.829556406443065 31.399798469428394 0.03503942846407978 3.1987269064535013 0.010473961542795679
14.333216 6.714222889125363 41.688410265564364 0.0462154604251297 4.031538261881964 0.011384641813742375
14.072192 9.679025456468164 60.92056026981765 0.09266545444347393 5.695200249639814 0.025746579907397798
13.815613 11.10558241197086 70.03482836869506 0.14575407726260392 8.589311533098261 0.04330521972234663
13.5634 17.806491414492065 104.6443802537932 0.15429109341089534 10.739852934419373 0.054156337479828114
13.315482 16.252067777222308 140.39998316264436 0.1653072867039628 13.184518747922647 0.06014895027986881
13.071784 20.087785431077556 134.43208744743208 0.2348318413380839 19.114601239079164 0.0937400131627055
12.832235 38.07498975918472 165.3897751513437 0.31657624653036 25.708752496871206 0.13888704462005713
12.596764 53.22804898286569 271.7857070649548 0.3491309412050534 30.146562312747314 0.1607630810146466
12.365301 65.93920765847957 338.89048526791345 0.4414646332334773 38.00986940605224 0.18340224654750728
12.137778 86.51125581355683 406.7493208427808 0.6861491613021512 52.47526739662536 0.2785561890454854
11.914128 116.41910799620497 523.5299439712127 0.7844790127483268 65.9834731685531 0.3405466645069376
11.694286 148.4796613789953 702.6251103273873 1.0025731109183496 83.23821067087927 0.4328095238518989
11.478187 203.14146381168803 904.4740671732125 1.2672744503350601 105.57236123325181 0.5299422963028395
11.265766 250.69031887085566 1078.6724959665758 1.7970569411935025 143.87273128861068 0.7542102004002174
11.056961 330.06266081991726 1312.7397698509417 2.123391220460463 185.60169027533473 0.9712273892823619
10.85171 432.30728823150736 1712.9044036392802 2.36684740614031 228.13699683589505 1.1676366527901252
10.649955 526.7031801484349 2033.6208627784292 3.012231228507842 293.54161202575773 1.5082035172368118
10.4516325 650.4486064185808 2479.967849091307 3.4396683325289152 363.7006041083174 1.847828293704012
10.256687 827.1799630674492 2950.3055936569353 3.8915867003712763 447.49815323716103 2.221780741465503
10.065061 1027.6237185467053 3710.1502015249625 4.662546903442462 540.6101624993437 2.621833637692387
9.876696 1277.6773693376178 4338.472806065584 5.97253957504513 675.298121520424 3.2866505994646764
9.691538 1615.2278033604273 5190.3979759986305 7.435699884528071 829.671929697762 4.039851600243477
9.509531 1985.5458566991506 6362.472543856949 8.819746066828609 995.3469535140775 4.758854900392953
9.330624 2302.901862366863 7677.664816034862 11.113889902981393 1210.80279390066 5.776854785034358
9.154761 2809.1330712406666 8567.553829279665 13.784173096162197 1501.697712010245 7.2722898140402386
8.981894 3402.2502511893026 10138.60923790988 15.989574875955283 1802.7707461192285 8.76244946930741
8.811968 4042.975261515936 11820.231649128349 18.302857091865693 2145.036075720918 10.362051334980938
8.644935 4789.28606284629 13909.76798638959 21.378457391887494 2536.4404506702567 12.161282294689947
8.480745 5673.32401682739 15571.751871594859 25.839597075019185 3038.2091994227617 14.619270500035169
8.319351 6702.644496292076 17584.907090995574 29.69978004537486 3591.722726213897 17.247407050506663
8.160704 7782.08355233011 20183.370729467868 32.85689029174879 4161.991707533423 19.80779512936884
8.004758 8927.338723972722 22888.714588093488 38.77630189894412 4837.105911791895 22.81303584978006
7.8514667 10341.277215133849 25425.07937616837 45.7443965676825 5640.437460266233 26.70915982872316
7.7007847 11737.830183751164 28577.812350882694 53.65944740138705 6517.152472552794 30.801123286689315
7.5526676 13393.150317211504 31241.38392484029 61.549641677652865 7523.370276673719 35.47382438089728
7.4070725 15399.544893198394 33977.683038671814 68.53555481955948 8603.4549142809 40.282013913086075
7.2639556 17195.007394673983 37445.890932622504 75.1540076680245 9743.943342415068 45.15334633062138
7.1232753 19090.84857645308 41691.291942190175 84.61966541354094 10962.746911441109 50.11737733482041
6.9849896 21540.42020260789 44803.4741204668 96.99863076420588 12421.361715660978 56.20394238028551
6.849058 24417.691251327662 48605.350793997146 109.1525815439216 13959.865333889416 62.30008007088228
6.7154403 27263.086029651822 52187.03298493812 123.07705916896273 15675.309469574433 69.36687802416353
6.5840974 30410.447504429943 55680.593836025866 136.83754730419165 17554.401456680152 76.91394549230246
6.4549904 33731.44320454745 59999.06640532556 151.61253169767022 19535.657543606074 84.63665887864362
6.3280816 37130.82099878871 65891.84787485647 169.13315143852236 21542.240459578567 91.7337780046431
6.203333 40855.275785520746 69923.78673981722 191.27636791776675 23817.61828378937 100.49973535296117
6.0807076 44994.23095443945 73418.73237970084 216.9466554767366 26431.520357728885 110.48934126200137
5.96017 49217.92387549317 77442.08381225448 239.45216106484673 29146.76893999041 120.51088433893977
5.8416843 53337.487646587884 82314.78108230828 261.91842348579786 31964.08473040324 130.13379542593944
5.725216 57693.73272537003 87783.73008666647 289.5146881211651 34950.96311872105 139.88749155442252
5.6107297 62236.51495151097 91075.97400054258 321.2342920367025 38377.12220571271 151.87217959689679
5.498193 67289.34798675397 95346.28814439075 348.51150819212387 41792.68635201141 163.15512598510327
5.387572 72754.68695994305 98475.88469497778 377.9808303143645 45569.07507327051 175.3743119386616
5.2788334 78465.34692940765 102246.58620187394 410.84503511061195 49583.25990074453 188.4298009135495
5.1719465 84548.83733141198 107066.91406922588 449.377640683803 53866.9908190584 202.7601910120769
5.0668793 90786.22218639185 113147.87875581635 489.0936650429736 58186.874305244455 215.79525040579531
4.9636 97115.73468843315 117768.15254366357 533.7092847248529 62838.81969344514 229.95980537791024
4.8620796 104012.29642897652 121838.55195782297 577.6283934737046 67828.17453284704 244.43146747611505
4.762287 110934.66401355874 126883.80784682439 624.763672840138 73237.51665343813 259.8003811296464
4.6641936 118534.66362495262 131045.40300615114 685.0368229146849 79241.43831054238 277.839395113746
4.56777 126814.85581602601 134342.71576958196 736.5171901209268 85511.52682545 295.9101166243235
4.4729877 134219.6524633825 140859.38378379028 783.9022513107514 91410.5180711536 311.25934915761076
4.379819 141996.10377920675 143985.58368261383 853.0307828037312 98545.13284413502 331.3043574952279
4.288236 150516.61343722718 146614.71407862622 928.0986919496163 106178.52415517284 356.22303719077235
4.1982126 159431.23921217173 149937.71946437046 993.8077776418543 114054.11415567284 379.98517465175087
4.109721 168478.70019915834 153906.15836008138 1057.1246461325704 121816.26469663653 402.7457353106815
4.0227365 177925.06745299188 157035.78103875887 1137.0468687151747 130657.81020248558 429.7709242599353
3.9372327 186973.92193813785 162579.25606655292 1208.3886672065933 139219.40192811695 453.57164147952534
3.8531842 194868.10642970196 165449.0958508697 1294.1225527914614 148949.04993902365 486.38284163387095
3.7705667 203814.71298740408 166157.1845218271 1361.3182860073368 159149.43904689292 518.0213055809002
3.6893554 214823.4529587975 167893.50064713045 1431.2901288375847 169352.31903272204 549.131526219322
3.6095269 225335.35858019415 172299.61989597284 1505.11872277474 179331.47288906414 575.7564246572682
3.5310571 235882.34551775295 177397.62839966995 1591.439265641351 189372.89869440312 599.5687090002515
3.453923 245876.58399167025 180392.69141233317 1709.9226713961182 201383.31998020646 634.339822129773
3.3781023 255304.90544433997 182010.2466570041 1802.2314460014954 213936.90942980562 668.5321027963175
3.3035722 265500.3824711974 182865.73259576902 1885.020205886646 226428.035324411 705.707612627875
3.230311 276141.6395592377 184798.41003045475 1976.8875246298162 240014.9210779108 744.221302552223
3.1582966 287435.24539186055 187089.35584191477 2060.9669033180403 253527.6378918781 780.6154191776176
3.0875084 299851.40108549176 188887.0033049574 2162.6726728842623 267755.5327986886 817.201005716121
3.017925 311414.05657523515 195453.4279128188 2267.314178367683 281529.65244862693 848.6178571873166
